firstname,lastname,address,phone_number,national_insurance
Alice,Smith,"114 2nd St, Houston, UK",+44 7782 250055,AB123456C
Bob,Johnson,"82 Maple Ave, Dallas, UK",0723 855 4642,ab 123 456 c
Charlie,Williams,"47 Park Ave, New York, UK",(0714) 759 6227,AB12345678
Diana,Brown,"8 Broadway, Chicago, UK",+44 7502 082757,ab123456c
Ethan,Jones,"15 Park Ave, Los Angeles, UK",07734.728744,AB 123 456 C
Fiona,Garcia,"69 Pine St, San Diego, UK",0710 807 3018,12345678
George,Miller,"35 Park Ave, Dallas, UK",07298474398,ab 123456 c
Hannah,Davis,"187 Park Ave, San Diego, UK",+44 7335 077594,AB-123-456-C
Ian,Rodriguez,"56 Broadway, Phoenix, UK",078 504 08 367,ab.123.456.c
Jasmine,Martinez,"51 Broadway, San Antonio, UK",073 828 64 558,AB_123_456_C
Kevin,Hernandez,"166 2nd St, San Antonio, UK",0765 194 6134,ab/123/456/c
Laura,Lopez,"57 Elm St, Philadelphia, UK",07493 314958,AB123456789
Michael,Gonzalez,"98 Maple Ave, Dallas, UK",07215 554241,ab 123 456 78
Nina,Wilson,"69 Broadway, Philadelphia, UK",07871683041,AB•123•456•C
Oliver,Anderson,"87 Maple Ave, Phoenix, UK",(0719) 258 6441,ab·123·456·c
Paula,Thomas,"132 2nd St, Chicago, UK",+44-7839-241689,AB:123:456:C
Quentin,Taylor,"99 Elm St, San Jose, UK",076-2535-8830,ab;123;456;c
Rachel,Moore,"190 2nd St, New York, UK",0727 540 3231,AB,123,456,C
Sam,Jackson,"196 High St, San Diego, UK",076 518 08 234,ab 12345678
Tina,Martin,"88 Main St, Dallas, UK",(0726) 413 9243,AB123456
