firstname,lastname,address,"phone_number",national_insurance
Alice,Smith,"114 2nd St, Houston, UK","07782250055",AB123456C
Bob,Johnson,"82 Maple Ave, Dallas, UK","07238554642",ab 123 456 c
Charlie,Williams,"47 Park Ave, New York, UK","07147596227",AB12345678
Diana,Brown,"8 Broadway, Chicago, UK","07502082757",ab123456c
Ethan,Jones,"15 Park Ave, Los Angeles, UK","07734728744",AB 123 456 C
Fiona,Garcia,"69 Pine St, San Diego, UK","07108073018",12345678
George,Miller,"35 Park Ave, Dallas, UK","07298474398",ab 123456 c
Hannah,Davis,"187 Park Ave, San Diego, UK","07335077594",AB-123-456-C
Ian,Rodriguez,"56 Broadway, Phoenix, UK","07850408367",ab.123.456.c
Jasmine,Martinez,"51 Broadway, San Antonio, UK","07382864558",AB_123_456_C
Kevin,Hernandez,"166 2nd St, San Antonio, UK","07651946134",ab/123/456/c
Laura,Lopez,"57 Elm St, Philadelphia, UK","07493314958",AB123456789
Michael,Gonzalez,"98 Maple Ave, Dallas, UK","07215554241",ab 123 456 78
Nina,Wilson,"69 Broadway, Philadelphia, UK","07871683041",AB•123•456•C
Oliver,Anderson,"87 Maple Ave, Phoenix, UK","07192586441",ab·123·456·c
Paula,Thomas,"132 2nd St, Chicago, UK","07839241689",AB:123:456:C
Quentin,Taylor,"99 Elm St, San Jose, UK","07625358830",ab;123;456;c
Rachel,Moore,"190 2nd St, New York, UK","07275403231",AB,123,456,C
Sam,Jackson,"196 High St, San Diego, UK","07651808234",ab 12345678
Tina,Martin,"88 Main St, Dallas, UK","07264139243",AB123456
